location,property_type,bedrooms,bathrooms,parking,size_sqft,price_kes,price_per_sqft,listing_month,listing_year,location_tier,total_rooms,bed_bath_ratio
Kilimani,Apartment,4,5,2,2971,42500000,14304.95,2,2026,Mid Range,9,0.8
Kilimani,Apartment,3,4,2,2174,22500000,10349.59,2,2026,Mid Range,7,0.75
Kilimani,Apartment,2,1,1,484,5500000,11363.64,2,2026,Mid Range,3,2.0
Westlands,Apartment,1,1,1,861,8200000,9523.81,2,2026,High End,2,1.0
Kileleshwa,Apartment,4,5,2,2960,31000000,10472.97,2,2026,Mid Range,9,0.8
Westlands,Apartment,2,3,1,1184,13000000,10979.73,2,2026,High End,5,0.67
Kileleshwa,Apartment,2,2,1,1184,11500000,9712.84,2,2026,Mid Range,4,1.0
Kileleshwa,Apartment,4,5,2,2960,31000000,10472.97,2,2026,Mid Range,9,0.8
Westlands,Apartment,2,1,1,936,10500000,11217.95,2,2026,High End,3,2.0
Westlands,Apartment,2,2,1,1173,13800000,11764.71,2,2026,High End,4,1.0
Westlands,Apartment,1,1,1,721,9000000,12482.66,2,2026,High End,2,1.0
Kileleshwa,Apartment,2,2,2,861,7150000,8304.3,2,2026,Mid Range,4,1.0
Kileleshwa,Apartment,2,2,2,807,7150000,8859.98,2,2026,Mid Range,4,1.0
Kileleshwa,Apartment,1,1,1,700,5110000,7300.0,2,2026,Mid Range,2,1.0
Westlands,Apartment,1,1,1,861,8200000,9523.81,2,2026,High End,2,1.0
Kileleshwa,Apartment,1,1,1,700,5110000,7300.0,2,2026,Mid Range,2,1.0
Kilimani,Apartment,2,2,1,1313,15600000,11881.19,2,2026,Mid Range,4,1.0
Kilimani,Apartment,1,1,1,807,8200000,10161.09,2,2026,Mid Range,2,1.0
Westlands,House,2,3,1,1184,13000000,10979.73,2,2026,High End,5,0.67
Westlands,Apartment,3,4,2,1701,19800000,11640.21,2,2026,High End,7,0.75
Westlands,Apartment,3,4,2,1808,21800000,12057.52,2,2026,High End,7,0.75
Kileleshwa,Apartment,2,2,1,1184,11500000,9712.84,2,2026,Mid Range,4,1.0
Westlands,Apartment,2,3,2,1399,17800000,12723.37,2,2026,High End,5,0.67
Westlands,Apartment,3,4,2,1636,19500000,11919.32,2,2026,High End,7,0.75
Westlands,Apartment,4,5,2,2174,27000000,12419.5,2,2026,High End,9,0.8
Kabete,Apartment,1,1,1,549,4310000,7850.64,2,2026,Affordable,2,1.0
Westlands,Apartment,4,5,2,2174,27000000,12419.5,2,2026,High End,9,0.8
Westlands,Apartment,2,3,1,1410,15500000,10992.91,2,2026,High End,5,0.67
Kilimani,Apartment,2,2,1,1313,15600000,11881.19,2,2026,Mid Range,4,1.0
Westlands,Apartment,2,3,1,1346,13900000,10326.89,2,2026,High End,5,0.67
Westlands,Apartment,2,3,1,1346,13900000,10326.89,2,2026,High End,5,0.67
Westlands,Apartment,2,2,2,1485,20010000,13474.75,2,2026,High End,4,1.0
Westlands,Apartment,2,2,2,1485,20010000,13474.75,2,2026,High End,4,1.0
Westlands,Apartment,1,1,1,700,6500000,9285.71,2,2026,High End,2,1.0
