source,location,address,property_type,bedrooms,bathrooms,parking,size_sqft,price_kes,listing_url,listing_date
property24,Kilimani,"Riara Rd Maziwa, Kilimani, Nairobi",Apartment,2.0,2.0,1.0,1184,11800000,https://www.property24.co.ke/2-bedroom-apartment-flat-for-sale-in-kilimani-116930412,2026-02-23
property24,Kilimani,"Riara Rd Maziwa, Kilimani, Nairobi",Apartment,2.0,2.0,1.0,1216,12800000,https://www.property24.co.ke/2-bedroom-apartment-flat-for-sale-in-kilimani-116930393,2026-02-23
property24,Westlands,"Matundu Lane Spring Valley, Westlands, Nairobi",Apartment,2.0,2.0,1.0,969,14000000,https://www.property24.co.ke/2-bedroom-apartment-flat-for-sale-in-westlands-116927119,2026-02-23
property24,Westlands,"Westlands, Westlands, Nairobi",Apartment,1.0,1.0,1.0,689,8800000,https://www.property24.co.ke/1-bedroom-apartment-flat-for-sale-in-westlands-116926536,2026-02-23
property24,Westlands,"Rhapta Road Nairobi, Westlands, Nairobi",Apartment,2.0,3.0,1.0,1152,12300000,https://www.property24.co.ke/2-bedroom-apartment-flat-for-sale-in-westlands-116945162,2026-02-23
property24,Westlands,"Rhapta Road Nairobi, Westlands, Nairobi",Apartment,2.0,3.0,1.0,1152,12300000,https://www.property24.co.ke/2-bedroom-apartment-flat-for-sale-in-westlands-116945153,2026-02-23
property24,Westlands,"Rhapta Road Nairobi, Westlands, Nairobi",Apartment,2.0,3.0,1.0,1152,12300000,https://www.property24.co.ke/2-bedroom-apartment-flat-for-sale-in-westlands-116945153,2026-02-23
property24,Kilimani,"Riara Rd Maziwa, Kilimani, Nairobi",Apartment,4.0,,2.0,2476,26500000,https://www.property24.co.ke/4-bedroom-apartment-flat-for-sale-in-kilimani-116930331,2026-02-23
property24,Kilimani,"Riara Rd Maziwa, Kilimani, Nairobi",Apartment,5.0,,3.0,2799,28200000,https://www.property24.co.ke/5-bedroom-apartment-flat-for-sale-in-kilimani-116930326,2026-02-23
property24,Kilimani,"Riara Rd Maziwa, Kilimani, Nairobi",Apartment,3.0,3.0,1.0,1399,15800000,https://www.property24.co.ke/3-bedroom-apartment-flat-for-sale-in-kilimani-116930355,2026-02-23
property24,Westlands,"Muthithi Rd Nairobi, Westlands, Nairobi",Apartment,2.0,2.0,2.0,1163,10757000,https://www.property24.co.ke/2-bedroom-apartment-flat-for-sale-in-westlands-116926407,2026-02-23
property24,Westlands,"Muthithi Rd Nairobi, Westlands, Nairobi",Apartment,2.0,2.0,2.0,1163,10757000,https://www.property24.co.ke/2-bedroom-apartment-flat-for-sale-in-westlands-116926404,2026-02-23
property24,Westlands,"Muthithi Rd Nairobi, Westlands, Nairobi",Apartment,2.0,2.0,2.0,1163,10757000,https://www.property24.co.ke/2-bedroom-apartment-flat-for-sale-in-westlands-116926394,2026-02-23
property24,Westlands,"Muthithi Rd Nairobi, Westlands, Nairobi",Apartment,3.0,3.0,2.0,1668,21714000,https://www.property24.co.ke/3-bedroom-apartment-flat-for-sale-in-westlands-116926459,2026-02-23
property24,Westlands,"Muthithi Rd Nairobi, Westlands, Nairobi",Apartment,3.0,3.0,2.0,1668,21714000,https://www.property24.co.ke/3-bedroom-apartment-flat-for-sale-in-westlands-116926577,2026-02-23
property24,Westlands,"Muthithi Rd Nairobi, Westlands, Nairobi",Apartment,3.0,3.0,2.0,1668,21714000,https://www.property24.co.ke/3-bedroom-apartment-flat-for-sale-in-westlands-116926422,2026-02-23
property24,Kilimani,"Wood Ave Kilimani, Kilimani, Nairobi",Apartment,,1.0,1.0,463,5200000,https://www.property24.co.ke/apartment-flat-for-sale-in-kilimani-116950646,2026-02-23
